101010100,北京,2016-04-20,174.15,89.39,4.68,72,29.85,2016-04-20,1.05,94.47,.13,56.63,71.05,16.51,2.50,50.81,29.85,3.27
101010100,北京,2016-04-20,71.37,79.32,6.67,55,43.15,2016-04-21,.39,86.40,.14,15.72,19.53,10.16,3.16,13.25,44.65,4.05
101010100,北京,2016-04-20,61.82,79.47,2.67,47,41.85,2016-04-22,.36,82.11,.11,19.00,17.23,17.23,1.30,15.98,43.51,1.70
101010100,北京,2016-04-20,99.03,64.11,26.56,61,43.71,2016-04-23,.60,68.61,.33,42.89,50.33,39.99,11.18,37.64,50.11,13.87
101010100,北京,2016-04-20,178.54,108.42,42.34,122,33.93,2016-04-24,1.10,121.79,.53,55.16,79.90,47.91,20.43,49.29,40.76,23.27
101010100,北京,2016-04-20,201.86,104.22,45.07,124,33.22,2016-04-25,1.20,115.77,.46,97.18,85.49,28.97,19.35,89.56,38.53,22.75
101010100,北京,2016-04-20,110.98,80.80,45.55,72,32.24,2016-04-26,.90,85.22,.38,83.60,51.41,29.11,13.93,78.10,33.46,16.81
101010100,北京,2016-04-20,174.15,89.39,4.68,72,29.85,2016-04-20,1.05,94.47,.13,56.63,71.05,16.51,2.50,50.81,29.85,3.27
101010100,北京,2016-04-20,71.37,79.32,6.67,55,43.15,2016-04-21,.39,86.40,.14,15.72,19.53,10.16,3.16,13.25,44.65,4.05
101010100,北京,2016-04-20,61.82,79.47,2.67,47,41.85,2016-04-22,.36,82.11,.11,19.00,17.23,17.23,1.30,15.98,43.51,1.70
101010100,北京,2016-04-20,99.03,64.11,26.56,61,43.71,2016-04-23,.60,68.61,.33,42.89,50.33,39.99,11.18,37.64,50.11,13.87
101010100,北京,2016-04-20,178.54,108.42,42.34,122,33.93,2016-04-24,1.10,121.79,.53,55.16,79.90,47.91,20.43,49.29,40.76,23.27
101010100,北京,2016-04-20,201.86,104.22,45.07,124,33.22,2016-04-25,1.20,115.77,.46,97.18,85.49,28.97,19.35,89.56,38.53,22.75
101010100,北京,2016-04-20,110.98,80.80,45.55,72,32.24,2016-04-26,.90,85.22,.38,83.60,51.41,29.11,13.93,78.10,33.46,16.81
